source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USEPA-362357105344401,25N.13E.17.323,,,36.399361,-105.5795,WGS84,6902.0,ft,300.0,ft,nitrate,mg/L,2,4.52,4.52,4.52,2021-08-10,,4.52,mg/L
WQP,USEPA-364158105250802,29N.14E.35.343,,,36.699444,-105.418889,WGS84,8854.0,ft,68.0,ft,nitrate,mg/L,2,0.24,0.24,0.24,2021-08-10,,0.245,mg/L
WQP,USEPA-364732108034101,30N.12W.23.443 4,,,36.792222,-108.061389,WGS84,5525.0,ft,23.0,ft,nitrate,mg/L,2,3.49,3.49,3.49,2020-10-28,,3.49,mg/L
WQP,USGS-312100108303101,34S.16W.18.143,,,31.349276,-108.50865,WGS84,4662.0,ft,211.0,ft,nitrate,mg/L,2,2.08,2.1,2.09,1956-03-29,,2.1,mg/L
WQP,USGS-312222108132801,34S.14W.01.333,,,31.372888,-108.225033,WGS84,4471.0,ft,,ft,nitrate,mg/L,2,3.0,3.01,3.01,1953-11-17,,3.0,mg/L
WQP,USGS-312705108295301,33S.17W.10.000,,,31.451496,-108.498651,WGS84,4557.0,ft,890.0,ft,nitrate,mg/L,2,1.5,1.5,1.5,1965-08-05,,1.5,mg/L
WQP,USGS-312708108295601,33S.16W.07.244,,,31.452329,-108.499484,WGS84,4558.0,ft,890.0,ft,nitrate,mg/L,2,1.5,1.51,1.5,1965-08-05,,1.5,mg/L
WQP,USGS-312938108302301,32S.16W.30.134,,,31.493994,-108.506985,WGS84,4496.0,ft,150.0,ft,nitrate,mg/L,2,5.76,5.9,5.83,1953-11-23,,5.9,mg/L
WQP,USGS-313835108135201,31S.14W.02.232,,,31.643158,-108.231705,WGS84,4195.0,ft,,ft,nitrate,mg/L,2,23.0,23.02,23.01,1952-01-26,,23.0,mg/L
WQP,USGS-313840108195901,31S.15W.02.2,,,31.643713,-108.331707,WGS84,4679.0,ft,,ft,nitrate,mg/L,2,15.94,16.0,15.97,1956-07-03,,16.0,mg/L
WQP,USGS-313952108284501,30S.16W.28.334A,,,31.664545,-108.479765,WGS84,4345.0,ft,170.0,ft,nitrate,mg/L,2,2.6,2.61,2.61,1966-08-11,,2.6,mg/L
WQP,USGS-314022108172001,30S.14W.29.141 BADGER WDML,,,31.672879,-108.289485,WGS84,4256.0,ft,,ft,nitrate,mg/L,2,2.08,2.1,2.09,1955-12-01,,2.1,mg/L
WQP,USGS-314042108282001,30S.16W.21.433,,,31.678433,-108.472821,WGS84,4328.0,ft,,ft,nitrate,mg/L,2,1.2,1.2,1.2,1953-09-21,,1.2,mg/L
WQP,USGS-314146108224201,30S.15W.16.313,,,31.696211,-108.378931,WGS84,4410.0,ft,,ft,nitrate,mg/L,2,7.4,7.53,7.46,1955-12-01,,7.4,mg/L
WQP,USGS-314200108261501,30S.16W.14.233,,,31.699822,-108.43921,WGS84,4319.0,ft,100.0,ft,nitrate,mg/L,2,3.3,3.32,3.31,1953-09-21,,3.3,mg/L
WQP,USGS-314202108203001,30S.15W.14.134,,,31.700656,-108.342264,WGS84,4271.0,ft,,ft,nitrate,mg/L,2,3.19,3.2,3.19,1955-12-01,,3.2,mg/L
WQP,USGS-314713107404301,29S.08W.17.231,,,31.786861,-107.679139,WGS84,4117.0,ft,325.0,ft,nitrate,mg/L,2,9.7,9.74,9.72,1958-05-21,,9.7,mg/L
