source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USGS-353355106033101,15N.08E.02.21223,,,35.565311,-106.059189,WGS84,6276,ft,794,ft,arsenic,mg/L,1,0,0,0,2/14/1977,,0.004,mg/L
WQP,USGS-353406106071101,16N.08E.32.3413,,,35.567533,-106.120023,WGS84,5960,ft,163,ft,arsenic,mg/L,1,0.01,0.01,0.01,2/14/1977,,0.005,mg/L
WQP,USGS-353420108002201,16N.11W.33.332,,,35.572222,-108.006667,WGS84,7367,ft,2023,ft,arsenic,mg/L,1,0,0,0,7/22/1981,,0.001,mg/L
WQP,USGS-353429107121301,16N.04W.36.2321,,,35.574751,-107.204212,WGS84,6165,ft,602,ft,arsenic,mg/L,1,0,0,0,4/13/1978,,0.001,mg/L
WQP,USGS-353443106191301,16N.06E.32.224,,,35.578458,-106.320744,WGS84,5362,ft,300,ft,arsenic,mg/L,1,0,0,0,7/17/2014,,0.0016,mg/L
WQP,USGS-353457105461101,16N.11E.27.3313,,,35.582535,-105.770295,WGS84,7455,ft,,ft,arsenic,mg/L,1,0,0,0,3/20/1974,,0.004,mg/L
WQP,USGS-353501106033101,16N.08E.26.43123 DUP,,,35.583644,-106.059189,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,6/14/1977,,0.003,mg/L
WQP,USGS-353508106025701,16N.08E.25.3142,,,35.585589,-106.049744,WGS84,6277,ft,,ft,arsenic,mg/L,1,0,0,0,7/24/1986,,0.003,mg/L
WQP,USGS-353518105551301,16N.10E.30.14442,,,35.588367,-105.920854,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,3/22/1974,,0.002,mg/L
WQP,USGS-353520105461401,16N.11E.28.2442,,,35.588924,-105.771129,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,3/20/1974,,0.002,mg/L
WQP,USGS-353533106045301,16N.08E.27.124 LEE,,,35.592533,-106.081967,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/27/1986,,0.001,mg/L
WQP,USGS-353533106425301,16N.02E.27.2134,,,35.592529,-106.715312,WGS84,5655,ft,220,ft,arsenic,mg/L,1,0.01,0.01,0.01,4/4/1974,,0.012,mg/L
WQP,USGS-353534108355201,16N.17W.25.1132,,,35.592799,-108.598414,WGS84,6688,ft,,ft,arsenic,mg/L,1,0,0,0,10/6/1976,,0.001,mg/L
WQP,USGS-353541106043201,16N.08E.27.2213 SF DOWNS,,,35.594755,-106.076134,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,5/20/1985,,0.001,mg/L
WQP,USGS-353608106015701,16N.09E.19.312,,,35.602255,-106.033078,WGS84,6424,ft,,ft,arsenic,mg/L,1,0,0,0,8/9/1986,,0.004,mg/L
WQP,USGS-353608106070201,"CIENEGUILLA GRANT, (353608106070201)",,,35.602255,-106.117801,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/28/1986,,0.001,mg/L
WQP,USGS-353637107172801,16N.04W.18.4444,,,35.610305,-107.291713,WGS84,6411,ft,250,ft,arsenic,mg/L,1,0,0,0,7/27/1978,,0.003,mg/L
WQP,USGS-353700106435701,16N.02E.16.4111,,,35.616695,-106.73309,WGS84,5545,ft,81,ft,arsenic,mg/L,1,0.02,0.02,0.02,8/30/1973,,0.017,mg/L
WQP,USGS-353700106435801,16N.02E.16.411,,,35.616695,-106.733368,WGS84,,ft,,ft,arsenic,mg/L,1,0.02,0.02,0.02,3/27/1997,,0.02,mg/L
WQP,USGS-353703106050201,16N.08E.15.143 AIRPORT,,,35.617532,-106.084467,WGS84,6313,ft,,ft,arsenic,mg/L,1,0.02,0.02,0.02,7/11/1986,,0.019,mg/L
WQP,USGS-353707106332901,09N.04E.06.411,,,35.035326,-106.559745,WGS84,5361.6,ft,1000,ft,arsenic,mg/L,1,0,0,0,7/20/2005,,0.0011,mg/L
WQP,USGS-353722106013901,16N.09E.18.1224 EVERGREEN,,,35.62281,-106.028078,WGS84,6464,ft,,ft,arsenic,mg/L,1,0,0,0,7/25/1986,,0.002,mg/L
WQP,USGS-353733106005701,16N.09E.08.3332K,,,35.625865,-106.016411,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/14/1986,,0.002,mg/L
WQP,USGS-353739105564601,SEBASTIAN DE VARGAS GRANT,,,35.627532,-105.946688,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,7/11/1985,,0.003,mg/L
WQP,USGS-353753106050901,16N.08E.10.22421B,,,35.63142,-106.086412,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,6/27/1985,,0.001,mg/L
WQP,USGS-353808106031001,"PACHECO GRANT, (353808106031001)",,,35.635587,-106.053356,WGS84,6419,ft,,ft,arsenic,mg/L,1,0,0,0,8/7/1986,,0.002,mg/L
WQP,USGS-353808106031801,PACHECO GRANT(353808106031801),,,35.635587,-106.055578,WGS84,6414,ft,,ft,arsenic,mg/L,1,0,0,0,8/8/1986,,0.003,mg/L
WQP,USGS-353812106042001,16N.08E.10.22421,,,35.636698,-106.072801,WGS84,6347,ft,500,ft,arsenic,mg/L,1,0.01,0.01,0.01,6/28/1985,,0.006,mg/L
WQP,USGS-353814106031701,PACHECO GRANT(353814106031701),,,35.637254,-106.055301,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/27/1986,,0.001,mg/L
WQP,USGS-353814108473001,16N.18W.07.1111,,,35.637222,-108.792222,WGS84,6611,ft,2147,ft,arsenic,mg/L,2,0,0,0,4/26/2021,,0.00026,mg/L
WQP,USGS-353818106020202,16N.09E.07.11122B,,,35.638365,-106.034467,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,4/16/1974,,0.001,mg/L
WQP,USGS-353819105563501,16N.09E.12.11222,,,35.638643,-105.943632,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,4/11/1974,,0.008,mg/L
WQP,USGS-353830106195301,SESESE S05 T16N R06E PAS-38,,,35.641569,-106.331367,WGS84,5571,ft,460,ft,arsenic,mg/L,1,0,0,0,8/27/2014,,0.0011,mg/L
WQP,USGS-353840106433101,16N.02E.04.424,,,35.644472,-106.725868,WGS84,,ft,,ft,arsenic,mg/L,1,0.03,0.03,0.03,3/27/1997,,0.034,mg/L
WQP,USGS-353844106531801,16N.01W.01.4211,,,35.645583,-106.888927,WGS84,6025,ft,2008,ft,arsenic,mg/L,1,0.36,0.36,0.36,6/5/1973,,0.36,mg/L
WQP,USGS-353845105564401,SEBASTIAN DE VARGAS GRANT(353845105564401),,,35.645865,-105.946132,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,6/26/1985,,0.002,mg/L
WQP,USGS-353931106003701,17N.09E.32.14434,,,35.658642,-106.010856,WGS84,6619,ft,69,ft,arsenic,mg/L,1,0,0,0,7/14/1987,,0.001,mg/L
WQP,USGS-354013105590501,17N.09E.28.4424,,,35.670309,-105.9853,WGS84,6735,ft,,ft,arsenic,mg/L,1,0,0,0,7/18/1986,,0.002,mg/L
WQP,USGS-354017108092201,17N.12W.30.3241,,,35.67141,-108.156734,WGS84,7041,ft,2544,ft,arsenic,mg/L,1,0,0,0,7/14/1981,,0,mg/L
