OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
76,76,"(438710.8169999998, 3687884.8663999997)",UCretaceous_ContactPts_81,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,6715.0,UCretaceous
77,77,"(426058.08779999986, 3682382.4043000005)",UCretaceous_ContactPts_82,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,7333.0,UCretaceous
78,78,"(421959.0521999998, 3678281.6601)",UCretaceous_ContactPts_83,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
79,79,"(425187.08210000023, 3681651.7457)",UCretaceous_ContactPts_84,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
80,80,"(427291.51659999974, 3681820.2183999997)",UCretaceous_ContactPts_86,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,7436.0,UCretaceous
81,81,"(428451.1489000004, 3678109.2426999994)",UCretaceous_ContactPts_87,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
82,82,"(431193.9466000004, 3677331.4365)",UCretaceous_ContactPts_88,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,7570.0,UCretaceous
83,83,"(433682.09410000034, 3677804.480799999)",UCretaceous_ContactPts_89,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,UCretaceous
84,84,"(439977.6621000003, 3717573.4529)",UCretaceous_ContactPts_90,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
85,85,"(438020.4068999998, 3715279.2715000007)",UCretaceous_ContactPts_92,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
86,86,"(434880.49909999967, 3715410.316400001)",UCretaceous_ContactPts_93,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
87,87,"(434664.7270999998, 3715616.5998)",UCretaceous_ContactPts_94,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
88,88,"(444040.19489999954, 3715494.8665999994)",UCretaceous_ContactPts_96,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
89,89,"(443898.21829999983, 3715615.5918000005)",UCretaceous_ContactPts_97,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
90,90,"(443817.9303000001, 3715772.9143000003)",UCretaceous_ContactPts_98,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
91,91,"(442507.9243000001, 3712587.707699999)",UCretaceous_ContactPts_99,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
92,92,"(421185.97559999954, 3709470.736300001)",UCretaceous_ContactPts_101,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
93,93,"(437114.22470000014, 3710457.2715000007)",UCretaceous_ContactPts_102,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
94,94,"(435342.35919999983, 3710301.5187)",UCretaceous_ContactPts_104,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
95,95,"(441396.6612, 3707365.4312999994)",UCretaceous_ContactPts_105,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
96,96,"(441876.44629999995, 3707224.4398)",UCretaceous_ContactPts_106,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
97,97,"(441512.3388, 3706853.4396)",UCretaceous_ContactPts_107,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
98,98,"(433741.60250000004, 3708144.2508000005)",UCretaceous_ContactPts_111,,,,,NMBGMR_500k,,UCretaceous,,UCretaceous
