OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
192,192,"(445009.5175000001, 3701446.0639999993)",FortStantonCSD-3758,445009.5175000001,3701446.0639999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3278.0,SanAndres
193,193,"(449125.05420000013, 3702878.045)",FortStantonCSE-4548,449125.05420000013,3702878.045,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3824.0,SanAndres
194,194,"(436183.0537999999, 3697653.1160000004)",AngusCSB-8312,436183.0537999999,3697653.1160000004,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SanAndres,953.0,SanAndres
195,195,"(437124.20469999965, 3696726.4626)",AngusCSB-9633,437124.20469999965,3696726.4626,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SanAndres,2373.0,SanAndres
196,196,"(437889.48500000034, 3695972.9707999993)",AngusCSB-10707,437889.48500000034,3695972.9707999993,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SanAndres,2616.0,SanAndres
197,197,"(442032.42650000006, 3696667.7652000003)",FortStantonCSA-10262,442032.42650000006,3696667.7652000003,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,3310.0,SanAndres
198,198,"(443770.40160000045, 3698543.0713)",FortStantonCSC-2210,443770.40160000045,3698543.0713,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,4004.0,SanAndres
199,199,"(439166.8546000002, 3694715.277899999)",AngusCSB-12500,439166.8546000002,3694715.277899999,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SanAndres,3294.0,SanAndres
200,200,"(440464.51379999984, 3693437.6078999992)",AngusCSB-14321,440464.51379999984,3693437.6078999992,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,SanAndres,4272.0,SanAndres
201,201,"(441561.45610000007, 3695698.8101000004)",GR_RAB_NorthEW-6500,,,,,,Sampled from cross-section,San Andres,4116.0,SanAndres
202,202,"(442122.1936999997, 3695368.5692999996)",GR_RAB_NorthEW-7151,,,,,,Sampled from cross-section,San Andres,4535.0,SanAndres
203,203,"(440700.9923999999, 3696208.321799999)",GR_RAB_NorthEW-5500,,,,,,Sampled from cross-section,San Andres,3138.0,SanAndres
204,204,"(439840.5286999997, 3696717.8335999995)",GR_RAB_NorthEW-4500,,,,,,Sampled from cross-section,San Andres,2968.0,SanAndres
205,205,"(440095.42700000014, 3680178.776799999)",Yeso_ContactPts_622,,,,,NMBGMR_500k,,SanAndres,6425.0,SanAndres
206,206,"(450916.7252000002, 3686221.5626)",Yeso_ContactPts_630,,,,,NMBGMR_500k,,SanAndres,6163.0,SanAndres
207,207,"(456696.60819999967, 3686828.8856000006)",Yeso_ContactPts_634,,,,,NMBGMR_500k,,SanAndres,5495.0,SanAndres
208,208,"(452058.2608000003, 3682349.2816000003)",Yeso_ContactPts_643,,,,,NMBGMR_500k,,SanAndres,6107.0,SanAndres
209,209,"(447047.67250000034, 3692938.1296999995)",Yeso_ContactPts_697,,,,,NMBGMR_500k,,SanAndres,5747.0,SanAndres
210,210,"(449949.7570000002, 3686312.9912)",Yeso_ContactPts_703,,,,,NMBGMR_500k,,SanAndres,6277.0,SanAndres
211,211,"(447048.2274000002, 3682500.9803)",Yeso_ContactPts_705,,,,,NMBGMR_500k,,SanAndres,6111.0,SanAndres
212,212,"(441506.06989999954, 3683713.5843)",Yeso_ContactPts_707,,,,,NMBGMR_500k,,SanAndres,5976.0,SanAndres
213,213,"(440335.61060000025, 3684904.651799999)",Yeso_ContactPts_708,,,,,NMBGMR_500k,,SanAndres,5709.0,SanAndres
214,214,"(476922.65050000045, 3696012.6512)",Yeso_ContactPts_715,,,,,NMBGMR_500k,,SanAndres,3752.0,SanAndres
215,215,"(458545.72279999964, 3698481.7116)",Yeso_ContactPts_731,,,,,NMBGMR_500k,,SanAndres,4553.0,SanAndres
216,216,"(454757.55539999995, 3699046.8814000003)",Yeso_ContactPts_739,,,,,NMBGMR_500k,,SanAndres,4933.0,SanAndres
217,217,"(463339.2651000004, 3698978.4200999998)",Yeso_ContactPts_745,,,,,NMBGMR_500k,,SanAndres,4291.0,SanAndres
218,218,"(468634.7017999999, 3695472.372199999)",Yeso_ContactPts_750,,,,,NMBGMR_500k,,SanAndres,4201.0,SanAndres
219,219,"(467777.64859999996, 3695360.0801)",Yeso_ContactPts_752,,,,,NMBGMR_500k,,SanAndres,4295.0,SanAndres
220,220,"(462219.3375000004, 3696919.5265999995)",Yeso_ContactPts_759,,,,,NMBGMR_500k,,SanAndres,4443.0,SanAndres
221,221,"(454362.4855000004, 3693916.5823999997)",Yeso_ContactPts_760,,,,,NMBGMR_500k,,SanAndres,4983.0,SanAndres
222,222,"(458580.44629999995, 3697180.674900001)",Yeso_ContactPts_761,,,,,NMBGMR_500k,,SanAndres,4606.0,SanAndres
223,223,"(460552.5412999997, 3709843.2624999993)",Yeso_ContactPts_786,,,,,NMBGMR_500k,,SanAndres,4649.0,SanAndres
224,224,"(463162.48840000015, 3706168.4147999994)",Yeso_ContactPts_799,,,,,NMBGMR_500k,,SanAndres,4407.0,SanAndres
225,225,"(481568.8766000001, 3720024.8486)",Yeso_ContactPts_820,,,,,NMBGMR_500k,,SanAndres,4176.0,SanAndres
226,226,"(484432.7067, 3718130.3292999994)",Yeso_ContactPts_821,,,,,NMBGMR_500k,,SanAndres,3862.0,SanAndres
227,227,"(476656.4791000001, 3693745.2829)",SanAndres_ContactPts_625,,,,,NMBGMR_500k,,SanAndres,3788.0,SanAndres
228,228,"(442018.31120000035, 3719524.0764000006)",CapitanCSD-50,442018.31120000035,3719524.0764000006,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3473.0,SanAndres
229,229,"(438376.08770000003, 3719549.524)",NogalCSD-8000,438376.08770000003,3719549.524,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3491.0,SanAndres
230,230,"(436810.6213999996, 3719551.911800001)",NogalCSD-6435,436810.6213999996,3719551.911800001,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3470.0,SanAndres
231,231,"(445422.82660000026, 3715244.2919999994)",CapitanCSC-3775,445422.82660000026,3715244.2919999994,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3295.0,SanAndres
232,232,"(446098.2742999997, 3717747.450099999)",CapitanCSD-4500,446098.2742999997,3717747.450099999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3667.0,SanAndres
233,233,"(445933.7396, 3711484.9811000004)",CapitanCSB-4357,445933.7396,3711484.9811000004,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3227.0,SanAndres
234,234,"(446655.4146999996, 3711173.0853000004)",CapitanCSB-5143,446655.4146999996,3711173.0853000004,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3346.0,SanAndres
235,235,"(444235.5499999998, 3712218.9102)",CapitanCSB-2511,444235.5499999998,3712218.9102,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3132.0,SanAndres
236,236,"(446208.2774, 3707192.9964000005)",CapitanCSA-4670,446208.2774,3707192.9964000005,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3177.0,SanAndres
237,237,"(444990.57540000044, 3707709.357999999)",CapitanCSA-3347,444990.57540000044,3707709.357999999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3301.0,SanAndres
238,238,"(453510.3627000004, 3708210.491800001)",CapitanCSB-12611,453510.3627000004,3708210.491800001,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,4051.0,SanAndres
239,239,"(452364.9643000001, 3708705.513699999)",CapitanCSB-11363,452364.9643000001,3708705.513699999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,4052.0,SanAndres
240,240,"(435799.5525000002, 3709006.6424000002)",NogalCSA-5500,435799.5525000002,3709006.6424000002,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3202.0,SanAndres
241,241,"(446913.6079000002, 3706893.9038999993)",CapitanCSA-5436,446913.6079000002,3706893.9038999993,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SanAndres,3114.0,SanAndres
242,242,"(441981.6409, 3691858.776900001)",RuidosoDownsCSA-313,441981.6409,3691858.776900001,meters,NAD83,Rawling2004_OFGM94,Sampled from interpretive cross-section,SanAndres,5677.0,SanAndres
243,243,"(470344.4386, 3700774.640900001)",Yeso_IsoValuePts_108,,,,,OFR543,,Yeso,3862.0,Yeso
244,244,"(462640.43680000026, 3690700.8629)",Yeso_IsoValuePts_137,,,,,OFR543,,Yeso,4555.0,Yeso
245,245,"(475322.3554999996, 3712818.501)",Yeso_IsoValuePts_149,,,,,OFR543,,Yeso,4301.0,Yeso
246,246,"(471645.19049999956, 3715329.782299999)",Yeso_IsoValuePts_150,,,,,OFR543,,Yeso,4337.0,Yeso
247,247,"(448314.7139999997, 3697536.1711999997)",Yeso_IsoValuePts_174,,,,,OFR543,,Yeso,5401.0,Yeso
248,248,"(447865.70189999975, 3688527.1411000006)",Yeso_IsoValuePts_218,,,,,OFR543,,Yeso,5854.0,Yeso
249,249,"(452921.72919999994, 3689222.295600001)",Yeso_IsoValuePts_227,,,,,OFR543,,Yeso,5788.0,Yeso
250,250,"(450846.02799999993, 3689857.873299999)",Yeso_IsoValuePts_232,,,,,OFR543,,Yeso,5833.0,Yeso
251,251,"(574261.3448000001, 3699588.4893999994)",30-005-62751,,,,,SalineSE,No known issues,Abo,-1027.0,Yeso
252,252,"(556480.3320000004, 3720569.1405999996)",30-005-63218,,,,,SalineSE,No known issues,Abo,-25.0,Yeso
253,253,"(567811.8572000004, 3707573.8247999996)",30-005-63234,,,,,SalineSE,No known issues,Abo,-691.0,Yeso
254,254,"(565300.9759, 3714295.3696999997)",30-005-63244,,,,,SalineSE,No known issues,Abo,-555.0,Yeso
255,255,"(579763.1807000004, 3711604.9309)",30-005-62245,,,,,SalineSE,No known issues,Abo,-1104.0,Yeso
256,256,"(534075.2424999997, 3689943.7720999997)",30-005-61071,,,,,SalineSE,No known issues,Abo,840.0,Yeso
257,257,"(544029.5224000001, 3711024.4626)",30-005-62692,,,,,SalineSE,No known issues,Abo,515.0,Yeso
258,258,"(566588.6969999997, 3704725.8084999993)",30-005-63307,,,,,SalineSE,No known issues,Abo,-669.0,Yeso
