OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
246,246,"(453629.7422000002, 3704031.4674999993)",Artesia_ContactPts_103,,,,,NMBGMR_500k,500k_surface_map,Artesia,5360.0,Artesia
247,247,"(447802.6891999999, 3698426.1707000006)",Artesia_ContactPts_104,,,,,NMBGMR_500k,500k_surface_map,Artesia,,
248,248,"(448939.8925000001, 3700537.4218000006)",Artesia_ContactPts_105,,,,,NMBGMR_500k,500k_surface_map,Artesia,5690.0,Artesia
249,249,"(448865.9201999996, 3699274.151799999)",Artesia_ContactPts_106,,,,,NMBGMR_500k,500k_surface_map,Artesia,,
250,250,"(444932.7123999996, 3697027.027899999)",Artesia_ContactPts_109,,,,,NMBGMR_500k,500k_surface_map,Artesia,5762.0,Artesia
251,251,"(438276.6029000003, 3684621.412799999)",Artesia_ContactPts_111,,,,,NMBGMR_500k,500k_surface_map,Artesia,,
252,252,"(436432.8959999997, 3683003.171599999)",Artesia_ContactPts_112,,,,,NMBGMR_500k,500k_surface_map,Artesia,,
253,253,"(426204.06769999955, 3681626.9240000006)",Artesia_ContactPts_113,,,,,NMBGMR_500k,500k_surface_map,Artesia,6087.0,Artesia
254,254,"(447060.42819999997, 3711909.3603000008)",NMBGMR_SSLib-56014,,,,,NMBGMR_SubsurfaceLibrary,No known issues,Artesia,4124.0,Artesia
255,255,"(450554.01549999975, 3711318.2898999993)",30-027-00080,,,,,NMOCD_online,No known issues,Artesia,4731.0,Artesia
256,256,"(574261.3448000001, 3699588.4893999994)",30-005-62751,,,,,SalineSE,No known issues,Yeso,1163.0,SanAndres
257,257,"(556480.3320000004, 3720569.1405999996)",30-005-63218,,,,,SalineSE,No known issues,"Yeso,Tubb",2103.0,SanAndres
258,258,"(567811.8572000004, 3707573.8247999996)",30-005-63234,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",1493.0,SanAndres
259,259,"(565300.9759, 3714295.3696999997)",30-005-63244,,,,,SalineSE,No known issues,"Yeso,Tubb,Drinkard",1613.0,SanAndres
260,260,"(566588.6969999997, 3704725.8084999993)",30-005-63307,,,,,SalineSE,No known issues,"Yeso,Tubb",1512.0,SanAndres
