OID@,OBJECTID,SHAPE,UniqueID,DataSourceID,DataQualityBottom,UnitsPresent,SimpleUnit,MUEBase
167,167,"(678549.7111999998, 3648000.6915000007)",30-025-20486,SalineSE,No known issues,"Yates,Tansill,Queen,Grayburg",LOchoan,640
168,168,"(635802.5214, 3621907.4846)",30-025-02362,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,860
169,169,"(672909.7412999999, 3618881.912799999)",30-025-07604,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1112
170,170,"(660379.7471000003, 3619966.8111000005)",30-025-21832,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1138
171,171,"(653011.5324999997, 3621967.8586999997)",30-025-03977,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,622
172,172,"(629963.0592999998, 3642809.3290999997)",30-025-01256,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1509
173,173,"(655624.8486000001, 3663507.635500001)",30-025-03671,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,982
174,174,"(598557.7751000002, 3650494.3479999993)",30-005-00514-0002,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2641
175,175,"(627302.0999999996, 3631931.9428000003)",30-025-01515,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1449
176,176,"(672109.3205000004, 3648862.434699999)",30-025-07268,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,606
177,177,"(644420.6678999998, 3655624.1986)",30-025-02690,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1173
178,178,"(652509.9183, 3655400.3895999994)",30-025-02693,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1032
179,179,"(616553.0791999996, 3622141.5338000003)",30-025-00867,SalineSE,No known issues,"Tansill,Seven Rivers,Queen,Yates,Grayburg",LOchoan,1229
180,180,"(673937.2460000003, 3627811.447899999)",30-025-07318,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,559
181,181,"(636584.7900999999, 3671257.9987000003)",30-025-01869,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,1497
182,182,"(569497.0305000003, 3620350.9360000007)",Artesia_ContactPts_112,NMBGMR_500k,,Tansill and Yates,LOchoan,3452
183,183,"(572659.1826999998, 3631232.5802999996)",Artesia_ContactPts_126,NMBGMR_500k,,Artesia,LOchoan,3525
184,184,"(572965.9846000001, 3634533.8238999993)",Artesia_ContactPts_127,NMBGMR_500k,,Artesia,LOchoan,3469
185,185,"(570632.5887000002, 3637188.0206000004)",Artesia_ContactPts_128,NMBGMR_500k,,Artesia,LOchoan,3487
186,186,"(572612.5687999995, 3637947.5457000006)",Artesia_ContactPts_129,NMBGMR_500k,,Artesia,LOchoan,3518
187,187,"(573427.0067999996, 3641267.5414000005)",Artesia_ContactPts_130,NMBGMR_500k,,Artesia,LOchoan,3557
188,188,"(572553.9439000003, 3643653.887)",Artesia_ContactPts_131,NMBGMR_500k,,Artesia,LOchoan,3627
189,189,"(549186.5213000001, 3630958.2380999997)",30-015-21559,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4170
190,190,"(567137.1995000001, 3648230.2397000007)",30-005-00205,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3723
191,191,"(575279.0185000002, 3629762.2643)",30-015-01611,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3437
192,192,"(554997.9489000002, 3652141.4845000003)",30-005-00107,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4075
193,193,"(580852.4930999996, 3650474.4473)",30-005-00378,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3278
